"ID","iD_ESTADO","ID_DISTRITO_FEDERAL","SECCION","TIPO_CASILLA","ID_CASILLA","EXT_CONTIGUA","TIPO_SECCION","LISTA_NOMINAL","ID_MUNICIPIO","ID_DIST_LOC","ID_ESTRATO_F","ESTRATO_F","ID_ESTRATO_L","ESTRATO_L","ID_AREA_RESPONSABILIDAD","NUM_ZORE","CIRCUNSCRIPCION"
"A01010344C0300","01","01",344,"C",3,0,3,626,2,2,1,NA,1,NA,6,1,2
"A01010356C0100","01","01",356,"C",1,0,1,650,3,8,1,NA,1,NA,15,4,2
"A01010358B0100","01","01",358,"B",1,0,1,681,3,8,1,NA,1,NA,16,4,2
"A01010362S0100","01","01",362,"S",1,0,1,0,3,8,1,NA,1,NA,29,3,2
"A01010363B0100","01","01",363,"B",1,0,1,638,3,8,1,NA,1,NA,19,4,2
"A01010363C0200","01","01",363,"C",2,0,1,637,3,8,1,NA,1,NA,19,4,2
"A01010370C0100","01","01",370,"C",1,0,2,681,3,8,1,NA,1,NA,23,3,2
"A01010377C0100","01","01",377,"C",1,0,1,506,3,8,1,NA,1,NA,28,3,2
"A01010390C0100","01","01",390,"C",1,0,2,749,4,1,1,NA,1,NA,36,5,2
"A01010392C0700","01","01",392,"C",7,0,2,749,5,7,1,NA,1,NA,93,9,2
"A01010397C0200","01","01",397,"C",2,0,1,722,5,7,1,NA,1,NA,101,6,2
"A01010399C0100","01","01",399,"C",1,0,3,501,5,7,1,NA,1,NA,104,9,2
"A01010404C0100","01","01",404,"C",1,0,3,397,10,4,1,NA,1,NA,83,18,2
"A01010407B0100","01","01",407,"B",1,0,3,515,5,7,1,NA,1,NA,95,7,2
"A01010413B0100","01","01",413,"B",1,0,2,703,5,4,1,NA,1,NA,111,8,2
"A01010428C0300","01","01",428,"C",3,0,3,605,6,3,1,NA,1,NA,47,10,2
"A01010440C0700","01","01",440,"C",7,0,2,684,7,1,1,NA,1,NA,55,13,2
"A01010450C0100","01","01",450,"C",1,0,2,600,7,1,1,NA,1,NA,60,13,2
"A01010467B0100","01","01",467,"B",1,0,3,662,9,3,1,NA,1,NA,73,15,2
"A01010473C0300","01","01",473,"C",3,0,2,724,10,4,1,NA,1,NA,76,17,2
"A01010473C0500","01","01",473,"C",5,0,2,724,10,4,1,NA,1,NA,77,17,2
"A01010473C0900","01","01",473,"C",9,0,2,723,10,4,1,NA,1,NA,78,17,2
"A01010484C0100","01","01",484,"C",1,0,3,431,11,2,1,NA,1,NA,86,16,2
"A01020068B0100","01","02",68,"B",1,0,1,690,1,11,2,NA,2,NA,16,8,2
"A01020082B0100","01","02",82,"B",1,0,1,677,1,5,2,NA,2,NA,3,3,2
"A01020083B0100","01","02",83,"B",1,0,2,747,1,12,2,NA,2,NA,33,5,2
"A01020086B0100","01","02",86,"B",1,0,1,673,1,5,2,NA,2,NA,29,6,2
"A01020086C0400","01","02",86,"C",4,0,1,672,1,5,2,NA,2,NA,30,6,2
"A01020086E0106","01","02",86,"E",1,6,1,677,1,5,2,NA,2,NA,32,6,2
"A01020106C0100","01","02",106,"C",1,0,1,582,1,11,2,NA,2,NA,20,8,2
"A01020116E0101","01","02",116,"E",1,1,1,660,1,13,2,NA,2,NA,61,12,2
"A01020119C0200","01","02",119,"C",2,0,1,702,1,13,2,NA,2,NA,23,13,2
"A01020135B0100","01","02",135,"B",1,0,1,625,1,15,2,NA,2,NA,70,16,2
"A01020140B0100","01","02",140,"B",1,0,1,448,1,14,2,NA,2,NA,74,8,2
"A01020151B0100","01","02",151,"B",1,0,1,700,1,15,2,NA,2,NA,85,15,2
"A01020152C0100","01","02",152,"C",1,0,1,707,1,15,2,NA,2,NA,121,16,2
"A01020154B0100","01","02",154,"B",1,0,1,537,1,15,2,NA,2,NA,83,16,2
"A01020155C0100","01","02",155,"C",1,0,1,658,1,15,2,NA,2,NA,103,19,2
"A01020156E0101","01","02",156,"E",1,1,1,715,1,14,2,NA,2,NA,109,17,2
"A01020316C0300","01","02",316,"C",3,0,2,656,1,12,2,NA,2,NA,122,4,2
"A01020318E0116","01","02",318,"E",1,16,2,725,1,12,2,NA,2,NA,129,4,2
"A01020499C0100","01","02",499,"C",1,0,1,452,1,13,2,NA,2,NA,52,9,2
"A01020548B0100","01","02",548,"B",1,0,1,408,1,16,2,NA,2,NA,67,15,2
"A01020551B0100","01","02",551,"B",1,0,1,744,1,16,2,NA,2,NA,67,15,2
"A01020552B0100","01","02",552,"B",1,0,1,666,1,16,2,NA,2,NA,67,15,2
"A01020560C0100","01","02",560,"C",1,0,1,491,1,16,2,NA,2,NA,89,15,2
"A01020561B0100","01","02",561,"B",1,0,1,358,1,15,2,NA,2,NA,88,15,2
"A01020581B0100","01","02",581,"B",1,0,1,405,1,16,2,NA,2,NA,98,18,2
