16
ID_PROCESO_ELECTORAL|ID_DETALLE_PROCESO|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|CABECERA_DISTRITAL|ID_DISTRITO_LOCAL|NOMBRE_DISTRITO_LOCAL|ID_MUNICIPIO|NOMBRE_MUNICIPIO|SECCION|TIPO_SECCION|TIPO_CASILLA|TIPO_CASILLA_W|ID_CASILLA|ARE|CLAVE_CASILLA|PADRON_ELECTORAL|LISTA_NOMINAL|PERSONAS_VOTANTES|FECHA_HORA_VISITA|FECHA_HORA_CAPTURA|USUARIO_CAPTURA|NUM_MODIFICACIONES|FECHA_HORA_MODIFICACION|USUARIO_MODIFICACION
28|251|1|AGUASCALIENTES|2|AGUASCALIENTES|5|AGUASCALIENTES|1|AGUASCALIENTES|80|URBANA|B|Básica|1|1|010080B0100|2141|2139|1350|21/05/2025 19:20:00|21/05/2025 18:37:12|daniel.romero|0||
28|251|1|AGUASCALIENTES|1|JESÚS MARÍA|2|VILLA JUAREZ|2|ASIENTOS|338|MIXTA|B|Básica|1|1|010338B0100|2027|2025|1000|21/05/2025 19:50:00|21/05/2025 18:37:38|daniel.romero|0||
28|251|5|COAHUILA|1|PIEDRAS NEGRAS|1|ACUÑA|2|ACUÑA|1688|URBANA|B|Básica|1|1|051688B0100|762|760|540|21/05/2025 18:40:00|21/05/2025 18:38:18|daniel.romero|0||
28|251|7|CHIAPAS|1|PALENQUE|9|PALENQUE|16|CATAZAJA|190|RURAL|B|Básica|1|1|070190B0100|635|634|360|21/05/2025 20:10:00|21/05/2025 18:39:01|daniel.romero|0||
28|251|10|DURANGO|1|VICTORIA DE DURANGO|7|SANTIAGO PAPASQUIARO|2|CANELAS|42|MIXTA|B|Básica|1|1|100042B0100|805|800|480|21/05/2025 19:50:00|21/05/2025 18:40:01|daniel.romero|0||
28|251|21|PUEBLA|1|HUAUCHINANGO DE DEGOLLADO|2|HUAUCHINANGO DE DEGOLLADO|50|CHICONCUAUTLA|423|MIXTA|B|Básica|1|1|210423B0100|1535|1532|1400|21/05/2025 20:50:00|21/05/2025 18:42:36|daniel.romero|0||
28|251|15|MÉXICO|1|JILOTEPEC DE MOLINA ENRÍQUEZ|14|JILOTEPEC DE MOLINA ENRIQUEZ|1|ACAMBAY DE RUIZ CASTAÑEDA|1|MIXTA|B|Básica|1|1|150001B0100|1892|1890|1450|21/05/2025 20:15:00|21/05/2025 18:41:13|daniel.romero|0||
28|251|14|JALISCO|1|TEQUILA|1|TEQUILA|63|MEZQUITIC|3879|RURAL|B|Básica|1|1|143879B0100|1219|1206|870|21/05/2025 20:05:00|21/05/2025 18:40:34|daniel.romero|0||
28|251|28|TAMAULIPAS|1|NUEVO LAREDO|1|NUEVO LAREDO|27|NUEVO LAREDO|749|URBANA|B|Básica|1|1|280749B0100|2210|2207|800|21/05/2025 18:40:00|21/05/2025 18:44:34|daniel.romero|0||
28|251|26|SONORA|1|SAN LUIS RÍO COLORADO|3|CABORCA|3|ALTAR|34|URBANA|B|Básica|1|1|260034B0100|1377|1373|142|21/05/2025 19:40:00|21/05/2025 18:48:18|daniel.romero|0||
28|251|31|YUCATÁN|1|VALLADOLID|18|TEMOZON|10|CANTAMAYEC|47|MIXTA|B|Básica|1|1|310047B0100|1411|1409|990|21/05/2025 18:55:00|21/05/2025 18:45:16|daniel.romero|0||
28|251|25|SINALOA|1|MAZATLÁN|24|EL ROSARIO|4|CONCORDIA|629|MIXTA|B|Básica|1|1|250629B0100|611|611|500|21/05/2025 18:20:00|21/05/2025 18:43:56|daniel.romero|0||
28|251|20|OAXACA|1|SAN JUAN BAUTISTA TUXTEPEC|1|SAN FELIPE JALAPA DE DIAZ|24|COSOLAPA|134|URBANA|B|Básica|1|1|200134B0100|743|741|300|21/05/2025 18:30:00|21/05/2025 18:42:05|daniel.romero|0||
28|251|29|TLAXCALA|1|APIZACO|11|HUAMANTLA|7|EL CARMEN TEQUEXQUITLA|101|URBANA|B|Básica|1|1|290101B0100|2221|2220|1500|21/05/2025 18:30:00|21/05/2025 18:35:47|daniel.romero|0||
28|251|24|SAN LUIS POTOSÍ|1|MATEHUALA|2|SALINAS DE HIDALGO|1|AHUALULCO|3|RURAL|B|Básica|1|1|240003B0100|309|308|100|21/05/2025 21:10:00|21/05/2025 18:43:19|daniel.romero|0||
