id_dje,n
circ-1-dje-1,10
circ-1-dje-10,12
circ-1-dje-11,14
circ-1-dje-2,10
circ-1-dje-3,10
circ-1-dje-4,11
circ-1-dje-5,11
circ-1-dje-6,12
circ-1-dje-7,10
circ-1-dje-8,10
circ-1-dje-9,10
circ-10-dje-1,24
circ-10-dje-2,18
circ-11-dje-1,61
circ-12-dje-1,37
circ-12-dje-2,37
circ-13-dje-1,54
circ-14-dje-1,27
circ-15-dje-1,25
circ-15-dje-2,29
circ-16-dje-1,33
circ-16-dje-2,42
circ-17-dje-1,37
circ-17-dje-2,30
circ-18-dje-1,10
circ-18-dje-2,13
circ-19-dje-1,28
circ-19-dje-2,19
circ-2-dje-1,59
circ-2-dje-2,59
circ-2-dje-3,59
circ-20-dje-1,57
circ-21-dje-1,56
circ-22-dje-1,26
circ-23-dje-1,35
circ-24-dje-1,25
circ-25-dje-1,20
circ-26-dje-1,25
circ-27-dje-1,24
circ-28-dje-1,15
circ-29-dje-1,41
circ-3-dje-1,26
circ-3-dje-2,23
circ-3-dje-3,21
circ-3-dje-4,24
circ-30-dje-1,16
circ-31-dje-1,12
circ-32-dje-1,10
circ-4-dje-1,22
circ-4-dje-2,28
circ-4-dje-3,18
circ-5-dje-1,25
circ-5-dje-2,25
circ-6-dje-1,35
circ-6-dje-2,36
circ-7-dje-1,47
circ-7-dje-2,42
circ-8-dje-1,27
circ-8-dje-2,22
circ-9-dje-1,40
