ID_ENTIDAD,DISTRITO,party,candidato
1,1,PAN,PRI
1,1,PRI,PRI
1,1,PRD,PRI
1,1,MORENA,PVEM
1,1,PT,PVEM
1,1,PVEM,PVEM
1,2,PAN,PAN
1,2,PRI,PAN
1,2,PRD,PAN
1,2,MORENA,MORENA
1,2,PT,MORENA
1,2,PVEM,MORENA
1,3,PAN,PAN
1,3,PRI,PRI
1,3,PRD,PRD
1,3,MORENA,MORENA
1,3,PT,MORENA
1,3,PVEM,MORENA
2,1,PAN,PAN
2,1,PRI,PAN
2,1,PRD,PAN
2,1,MORENA,MORENA
2,1,PT,PT
2,1,PVEM,PVEM
2,2,PAN,PAN
2,2,PRI,PAN
2,2,PRD,PAN
2,2,MORENA,MORENA
2,2,PT,PT
2,2,PVEM,PVEM
2,3,PAN,PRD
2,3,PRI,PRD
2,3,PRD,PRD
2,3,MORENA,MORENA
2,3,PT,PT
2,3,PVEM,PVEM
2,4,PAN,PRD
2,4,PRI,PRD
2,4,PRD,PRD
2,4,MORENA,MORENA
2,4,PT,PT
2,4,PVEM,PVEM
2,5,PAN,PAN
2,5,PRI,PAN
2,5,PRD,PAN
2,5,MORENA,MORENA
2,5,PT,PT
2,5,PVEM,PVEM
2,6,PAN,PRI
2,6,PRI,PRI
2,6,PRD,PRI
2,6,MORENA,MORENA
2,6,PT,PT
2,6,PVEM,PVEM
2,7,PAN,PRI
2,7,PRI,PRI
2,7,PRD,PRI
2,7,MORENA,MORENA
2,7,PT,PT
2,7,PVEM,PVEM
2,8,PAN,PAN
2,8,PRI,PAN
2,8,PRD,PAN
2,8,MORENA,PVEM
2,8,PT,PVEM
2,8,PVEM,PVEM
2,9,PAN,PRI
2,9,PRI,PRI
2,9,PRD,PRI
2,9,MORENA,MORENA
2,9,PT,PT
2,9,PVEM,PVEM
3,1,PAN,PAN
3,1,PRI,PAN
3,1,PRD,PAN
3,1,MORENA,PVEM
3,1,PT,PVEM
3,1,PVEM,PVEM
3,2,PAN,PAN
3,2,PRI,PAN
3,2,PRD,PAN
3,2,MORENA,PT
3,2,PT,PT
3,2,PVEM,PT
4,1,PAN,PRI
4,1,PRI,PRI
4,1,PRD,PRI
4,1,MORENA,MORENA
4,1,PT,MORENA
4,1,PVEM,MORENA
4,2,PAN,PRD
4,2,PRI,PRD
4,2,PRD,PRD
4,2,MORENA,MORENA
4,2,PT,MORENA
4,2,PVEM,MORENA
5,1,PAN,PRI
5,1,PRI,PRI
5,1,PRD,PRI
5,1,MORENA,PT
5,1,PT,PT
5,1,PVEM,PT
5,2,PAN,PRI
5,2,PRI,PRI
5,2,PRD,PRI
5,2,MORENA,MORENA
5,2,PT,MORENA
5,2,PVEM,MORENA
5,3,PAN,PAN
5,3,PRI,PAN
5,3,PRD,PAN
5,3,MORENA,PT
5,3,PT,PT
5,3,PVEM,PT
5,4,PAN,PRI
5,4,PRI,PRI
5,4,PRD,PRI
5,4,MORENA,PT
5,4,PT,PT
5,4,PVEM,PT
5,5,PAN,PAN
5,5,PRI,PAN
5,5,PRD,PAN
5,5,MORENA,PVEM
5,5,PT,PVEM
5,5,PVEM,PVEM
5,6,PAN,PRI
5,6,PRI,PRI
5,6,PRD,PRI
5,6,MORENA,MORENA
5,6,PT,MORENA
5,6,PVEM,MORENA
5,7,PAN,PRI
5,7,PRI,PRI
5,7,PRD,PRI
5,7,MORENA,MORENA
5,7,PT,MORENA
5,7,PVEM,MORENA
5,8,PAN,PRD
5,8,PRI,PRD
5,8,PRD,PRD
5,8,MORENA,PVEM
5,8,PT,PVEM
5,8,PVEM,PVEM
6,1,PAN,PAN
6,1,PRI,PAN
6,1,PRD,PAN
6,1,MORENA,MORENA
6,1,PT,MORENA
6,1,PVEM,MORENA
6,2,PAN,PRI
6,2,PRI,PRI
6,2,PRD,PRI
6,2,MORENA,MORENA
6,2,PT,MORENA
6,2,PVEM,MORENA
7,1,PAN,PRD
7,1,PRI,PRD
7,1,PRD,PRD
7,1,MORENA,PT
7,1,PT,PT
7,1,PVEM,PT
7,2,PAN,PRI
7,2,PRI,PRI
7,2,PRD,PRI
7,2,MORENA,MORENA
7,2,PT,MORENA
7,2,PVEM,MORENA
7,3,PAN,PRD
7,3,PRI,PRD
7,3,PRD,PRD
7,3,MORENA,MORENA
7,3,PT,MORENA
7,3,PVEM,MORENA
7,4,PAN,PRD
7,4,PRI,PRD
7,4,PRD,PRD
7,4,MORENA,MORENA
7,4,PT,MORENA
7,4,PVEM,MORENA
7,5,PAN,PRI
7,5,PRI,PRI
7,5,PRD,PRI
7,5,MORENA,MORENA
7,5,PT,MORENA
7,5,PVEM,MORENA
7,6,PAN,PRD
7,6,PRI,PRD
7,6,PRD,PRD
7,6,MORENA,MORENA
7,6,PT,MORENA
7,6,PVEM,MORENA
7,7,PAN,PRI
7,7,PRI,PRI
7,7,PRD,PRI
7,7,MORENA,MORENA
7,7,PT,PT
7,7,PVEM,PVEM
7,8,PAN,PRI
7,8,PRI,PRI
7,8,PRD,PRI
7,8,MORENA,PT
7,8,PT,PT
7,8,PVEM,PT
7,9,PAN,PAN
7,9,PRI,PAN
7,9,PRD,PAN
7,9,MORENA,MORENA
7,9,PT,MORENA
7,9,PVEM,MORENA
7,10,PAN,PRD
7,10,PRI,PRD
7,10,PRD,PRD
7,10,MORENA,PVEM
7,10,PT,PVEM
7,10,PVEM,PVEM
7,11,PAN,PRD
7,11,PRI,PRD
7,11,PRD,PRD
7,11,MORENA,PVEM
7,11,PT,PVEM
7,11,PVEM,PVEM
7,12,PAN,PRD
7,12,PRI,PRD
7,12,PRD,PRD
7,12,MORENA,MORENA
7,12,PT,PT
7,12,PVEM,PVEM
7,13,PAN,PRI
7,13,PRI,PRI
7,13,PRD,PRI
7,13,MORENA,PVEM
7,13,PT,PVEM
7,13,PVEM,PVEM
8,1,PAN,PRD
8,1,PRI,PRD
8,1,PRD,PRD
8,1,MORENA,MORENA
8,1,PT,MORENA
8,1,PVEM,MORENA
8,2,PAN,PRI
8,2,PRI,PRI
8,2,PRD,PRI
8,2,MORENA,MORENA
8,2,PT,MORENA
8,2,PVEM,MORENA
8,3,PAN,PRI
8,3,PRI,PRI
8,3,PRD,PRI
8,3,MORENA,PT
8,3,PT,PT
8,3,PVEM,PT
8,4,PAN,PAN
8,4,PRI,PAN
8,4,PRD,PAN
8,4,MORENA,PVEM
8,4,PT,PVEM
8,4,PVEM,PVEM
8,5,PAN,PAN
8,5,PRI,PAN
8,5,PRD,PAN
8,5,MORENA,MORENA
8,5,PT,MORENA
8,5,PVEM,MORENA
8,6,PAN,PAN
8,6,PRI,PAN
8,6,PRD,PAN
8,6,MORENA,MORENA
8,6,PT,MORENA
8,6,PVEM,MORENA
8,7,PAN,PAN
8,7,PRI,PAN
8,7,PRD,PAN
8,7,MORENA,PT
8,7,PT,PT
8,7,PVEM,PT
8,8,PAN,PRI
8,8,PRI,PRI
8,8,PRD,PRI
8,8,MORENA,PVEM
8,8,PT,PVEM
8,8,PVEM,PVEM
8,9,PAN,PRI
8,9,PRI,PRI
8,9,PRD,PRI
