916
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
9|2|1084|B|1|0|U|466|5|6|50|E0902|38|50|36|0|8|4|0|7|17|0|1|1|0|13|0|0|0|0|5|142|2024|4|25|14|6|13|4|N
9|2|1096|C|1|0|U|385|5|6|50|E0902|40|127|93|1|1|7|4|1|0|2|2|0|0|0|6|1|0|1|10|256|2024|4|25|14|4|48|4|N
9|2|1111|B|1|0|U|586|5|2|50|E0902|91|45|146|0|12|8|0|0|22|0|1|4|1|16|2|0|0|0|15|272|2024|4|25|14|10|53|4|N
9|2|1161|C|1|0|U|570|5|6|50|E0902|123|0|116|1|6|24|6|15|39|12|6|0|0|68|17|0|0|0|14|324|2024|4|25|14|7|40|4|N
9|2|1274|B|1|0|U|516|5|4|50|E0902|13|132|56|22|9|25|0|0|0|3|0|3|3|111|15|3|0|0|23|405|2024|4|25|14|7|21|4|N
9|2|1326|C|1|0|U|403|5|2|50|E0902|92|58|106|0|3|12|0|0|15|1|0|0|0|27|5|0|0|0|0|227|2024|4|25|14|10|28|4|N
9|2|4586|C|1|0|U|716|15|9|50|E0902|160|0|165|7|18|21|0|0|28|10|3|0|0|0|23|0|0|2|18|295|2024|4|25|14|5|34|4|N
9|2|4605|B|1|0|U|749|15|9|50|E0902|162|176|135|5|4|25|0|0|21|22|0|0|0|63|14|0|0|0|0|465|2024|4|25|14|10|27|4|N
10|3|23|B|1|0|R|616|1|8|73|E1003|4|0|198|0|28|2|0|104|7|0|0|0|0|6|0|0|0|0|53|398|2024|4|25|14|11|24|1|N
10|3|689|B|1|0|U|746|12|13|73|E1003|56|12|114|0|137|37|29|0|22|0|6|0|0|12|0|5|0|9|117|500|2024|4|25|14|4|46|4|N
10|3|1065|C|2|0|U|549|25|9|73|E1003|145|7|83|0|21|6|3|46|0|0|1|0|0|2|0|2|0|0|54|225|2024|4|25|14|3|38|4|N
10|3|1379|B|1|0|U|676|39|14|73|E1003|171|82|0|0|110|0|0|0|134|0|19|0|0|19|0|0|0|0|143|507|2024|4|25|14|12|52|4|N
10|3|1461|B|1|0|U|690|12|13|73|E1003|51|64|68|9|68|43|1|35|41|0|9|1|0|0|0|5|0|0|141|485|2024|4|25|15|0|58|4|N
9|3|208|C|4|0|U|684|2|3|51|E0903|41|126|41|11|13|22|8|35|98|15|0|0|2|53|32|3|0|2|0|461|2024|4|25|14|14|41|4|N
9|3|216|C|1|0|U|728|2|3|51|E0903|55|208|44|0|21|16|9|0|18|0|4|1|3|60|67|0|0|0|15|466|2024|4|25|15|12|36|4|N
9|3|266|C|1|0|U|651|2|5|51|E0903|161|158|0|0|26|8|6|0|58|3|4|3|4|30|32|0|0|2|2|336|2024|4|25|14|15|45|4|N
12|2|137|C|1|0|U|532|1|9|91|E1202|10|0|109|4|9|0|0|0|0|0|29|0|3|0|0|3|0|0|189|346|2024|4|25|14|6|1|4|N
12|2|292|B|1|0|U|584|1|6|91|E1202|55|174|45|41|0|0|10|24|0|0|1|1|0|0|0|0|0|0|14|310|2024|4|25|14|17|32|4|N
12|2|2838|B|1|0|U|568|1|6|91|E1202|19|76|0|25|0|35|8|46|8|0|0|0|1|29|0|0|0|0|18|246|2024|4|25|15|13|41|4|N
11|11|1585|C|1|0|U|718|20|21|85|E1111|76|24|64|6|2|19|1|109|0|0|0|0|0|0|28|0|0|1|17|271|2024|4|25|15|3|32|4|N
11|11|1613|C|1|0|U|709|20|6|85|E1111|96|2|154|6|0|1|22|180|0|0|0|0|1|7|44|1|0|3|19|440|2024|4|25|14|1|39|4|N
11|11|1633|C|7|0|U|690|20|21|85|E1111|45|26|181|8|4|11|15|53|0|0|0|0|0|6|17|1|0|1|26|349|2024|4|25|15|11|15|4|N
11|11|1644|C|4|0|U|723|20|4|85|E1111|39|20|204|2|1|0|16|128|0|0|0|0|0|7|16|0|0|0|2|396|2024|4|25|14|2|57|4|N
11|13|1931|C|4|0|U|680|23|18|87|E1113|48|20|36|0|24|95|23|61|5|44|0|0|0|6|30|0|0|0|19|363|2024|4|25|11|13|29|4|N
7|2|145|C|3|0|U|701|13|11|28|E0702|8|102|89|0|16|39|0|56|13|17|0|3|2|20|73|0|0|2|43|475|2024|4|25|14|12|34|4|N
7|2|627|C|2|0|U|739|44|3|28|E0702|118|0|115|0|32|71|0|42|0|29|42|0|1|43|23|2|0|0|32|432|2024|4|25|14|10|21|4|N
7|2|1209|C|5|0|U|651|82|8|28|E0702|69|30|1|0|3|52|29|75|2|28|0|2|0|0|36|1|0|0|15|274|2024|4|25|13|59|52|4|N
15|7|790|C|2|0|U|535|25|43|131|E1507|125|87|50|7|0|5|23|101|17|41|0|1|0|2|17|1|0|1|3|356|2024|4|25|15|14|26|4|N
15|7|857|C|3|0|U|694|25|43|131|E1507|10|83|80|6|0|9|0|121|23|46|4|1|0|9|55|1|0|0|3|441|2024|4|25|14|18|16|1|N
15|7|6593|C|2|0|U|681|25|43|131|E1507|80|74|104|1|1|6|27|74|15|35|4|0|1|0|0|0|0|0|16|358|2024|4|25|15|9|51|4|N
15|7|6713|B|1|0|U|700|25|43|131|E1507|123|45|0|20|9|14|31|184|30|30|0|0|0|15|0|0|0|1|0|379|2024|4|25|14|47|45|4|N
7|4|48|E|1|1|R|416|5|11|30|E0704|4|19|29|2|0|29|10|45|0|17|0|0|0|7|0|0|0|1|9|168|2024|4|25|15|7|13|4|N
15|40|130|C|1|0|U|712|5|45|164|E1540|31|25|0|57|4|28|18|75|35|46|0|0|0|50|20|1|0|0|4|363|2024|4|25|14|17|12|4|N
15|40|5828|B|1|0|U|684|119|36|164|E1540|128|98|0|23|3|15|24|88|12|52|14|4|0|30|16|1|0|0|11|391|2024|4|25|15|7|32|4|N
15|14|36|B|1|0|R|534|2|39|138|E1514|35|99|27|6|11|3|6|104|14|18|0|3|1|14|31|0|0|3|1|341|2024|4|25|15|13|59|4|N
15|14|49|B|1|0|U|673|2|39|138|E1514|24|63|10|5|2|2|0|103|11|0|2|2|0|7|10|3|0|1|12|233|2024|4|25|14|15|26|4|N
15|14|4696|C|9|0|U|695|101|39|138|E1514|56|130|41|7|6|2|0|133|0|66|0|3|0|40|32|0|0|0|29|489|2024|4|25|14|17|30|4|N
15|14|6701|B|1|0|U|632|2|39|138|E1514|11|89|62|4|0|3|0|116|15|27|0|0|1|20|31|0|0|1|8|377|2024|4|25|15|2|31|4|N
15|35|2170|B|1|0|U|733|41|9|159|E1535|30|67|92|0|7|17|15|187|0|0|0|0|0|14|46|1|0|0|22|468|2024|4|25|15|11|26|4|N
15|35|4481|C|2|0|U|602|91|7|159|E1535|61|46|61|4|0|17|10|150|0|9|4|2|0|15|37|1|0|1|6|363|2024|4|25|14|17|23|4|N
15|35|4484|B|1|0|U|651|91|7|159|E1535|82|40|71|10|7|23|9|121|0|34|0|4|3|6|40|0|0|0|18|386|2024|4|25|14|13|47|4|N
16|1|574|B|1|0|U|622|35|22|165|E1601|41|46|39|0|12|12|0|207|0|21|6|0|0|0|0|0|0|0|8|351|2024|4|25|14|12|59|4|N
16|1|1315|C|2|0|R|734|56|22|165|E1601|60|104|133|0|0|16|8|268|0|0|0|0|0|0|0|0|0|1|14|544|2024|4|25|15|1|44|4|N
14|9|635|B|1|0|U|611|41|9|113|E1409|117|2|131|69|17|1|0|30|12|69|2|3|1|30|17|1|0|0|0|385|2024|4|25|14|10|35|4|N
14|9|652|C|1|0|U|694|41|9|113|E1409|143|33|99|103|6|25|0|94|0|53|3|4|0|15|41|4|0|1|3|484|2024|4|25|15|9|20|4|N
14|9|1192|C|2|0|U|640|41|9|113|E1409|7|0|161|79|16|28|0|58|11|29|0|0|0|15|47|3|0|0|0|447|2024|4|25|14|9|0|4|N
14|9|1328|C|1|0|U|700|41|9|113|E1409|112|0|139|71|13|7|2|67|2|0|4|0|1|30|57|1|0|0|54|448|2024|4|25|13|30|25|4|N
14|10|3053|B|1|0|U|736|120|10|114|E1410|9|6|225|32|3|14|5|134|9|28|0|0|0|14|11|0|0|1|7|489|2024|4|25|15|10|51|4|N
14|10|3058|B|1|0|U|558|120|10|114|E1410|7|0|0|47|14|14|17|222|0|11|0|0|0|20|30|1|0|0|0|376|2024|4|25|15|5|5|4|N
14|15|172|C|2|0|U|719|13|15|119|E1415|74|25|89|66|0|14|1|237|4|36|1|4|1|1|0|4|0|2|0|485|2024|4|25|13|40|47|4|N
14|15|174|C|1|0|U|474|13|15|119|E1415|82|7|56|53|6|6|2|167|6|16|0|3|2|0|4|2|0|0|0|330|2024|4|25|15|9|11|4|N
14|15|237|B|1|0|R|254|16|15|119|E1415|96|10|13|20|0|0|0|47|2|10|0|2|0|1|9|3|0|0|1|118|2024|4|25|14|14|48|4|N
14|15|290|C|1|0|U|648|18|15|119|E1415|106|28|53|86|5|10|7|153|0|22|1|1|0|3|31|2|0|1|0|403|2024|4|25|15|11|37|4|N
