152
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PT|PVEM|MC|MORENA|NAM|PES|MAS|PROGRESA|RSP|PAN_PRI_PRD_RSP_M|PAN_PRI_PRD_RSP_N|PAN_PRI_PRD_RSP_O|PAN_PRI_PRD_RSP_P|PAN_PRI_PRD_RSP_Q|PAN_PRI_PRD_RSP_R|PAN_PRI_PRD_RSP_S|PAN_PRI_PRD_RSP_T|PAN_PRI_PRD_RSP_U|PAN_PRI_PRD_RSP_V|PAN_PRI_PRD_RSP_W|PT_PVEM_MORENA_NAM_MAS_PES_X|PT_PVEM_MORENA_NAM_MAS_PES_Y|PT_PVEM_MORENA_NAM_MAS_PES_Z|PT_PVEM_MORENA_NAM_MAS_PES_AA|PT_PVEM_MORENA_NAM_MAS_PES_AB|PT_PVEM_MORENA_NAM_MAS_PES_AC|PT_PVEM_MORENA_NAM_MAS_PES_AD|PT_PVEM_MORENA_NAM_MAS_PES_AE|PT_PVEM_MORENA_NAM_MAS_PES_AF|PT_PVEM_MORENA_NAM_MAS_PES_AG|PT_PVEM_MORENA_NAM_MAS_PES_AH|PT_PVEM_MORENA_NAM_MAS_PES_AI|PT_PVEM_MORENA_NAM_MAS_PES_AJ|PT_PVEM_MORENA_NAM_MAS_PES_AK|PT_PVEM_MORENA_NAM_MAS_PES_AL|PT_PVEM_MORENA_NAM_MAS_PES_AM|PT_PVEM_MORENA_NAM_MAS_PES_AN|PT_PVEM_MORENA_NAM_MAS_PES_AO|PT_PVEM_MORENA_NAM_MAS_PES_AP|PT_PVEM_MORENA_NAM_MAS_PES_AQ|PT_PVEM_MORENA_NAM_MAS_PES_AR|PT_PVEM_MORENA_NAM_MAS_PES_AS|PT_PVEM_MORENA_NAM_MAS_PES_AT|PT_PVEM_MORENA_NAM_MAS_PES_AU|PT_PVEM_MORENA_NAM_MAS_PES_AV|MC_PROGRESA|CNR|NULOS|TOTAL|LVMG|MGSC|JMGOD|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
17|1|189|C|1|0|U|574|7|1|176|E1701|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|42|31|1|N
17|1|191|C|1|0|U|713|7|2|176|E1701|5|6|11|12|2|7|20|12|7|3|7|16|8|8|9|10|15|10|11|11|8|10|11|7|8|11|9|12|9|8|10|8|7|8|2|5|16|8|10|9|6|9|6|4|10|11|9|7|4|15|0|10|452|147|259|36|2024|4|25|15|18|22|4|N
17|1|197|C|1|0|U|656|7|2|176|E1701|12|12|15|15|11|8|10|13|12|5|3|11|10|15|9|7|11|9|7|10|14|8|10|13|11|12|10|5|13|4|8|7|11|6|9|6|7|5|14|5|10|7|8|3|8|7|11|9|9|13|6|19|481|165|270|21|2024|4|25|15|23|48|4|N
17|1|200|C|2|0|U|586|7|2|176|E1701|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|42|7|1|N
17|1|202|C|3|0|U|568|7|2|176|E1701|18|10|5|11|9|7|7|4|4|7|1|9|13|13|14|10|5|4|13|11|9|9|10|5|6|4|3|7|4|3|6|2|8|7|8|10|9|3|4|5|5|6|7|7|4|6|5|10|2|9|3|9|352|142|182|16|2024|4|25|15|36|0|4|N
17|1|205|C|2|0|U|718|7|1|176|E1701|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|23|10|1|N
17|1|212|B|1|0|U|502|7|1|176|E1701|26|9|11|10|6|6|20|5|3|6|5|16|7|9|5|10|11|10|12|14|8|11|13|9|2|3|1|5|7|7|2|5|6|8|5|5|6|2|4|5|6|4|6|2|8|6|9|3|7|4|0|10|354|149|159|36|2024|4|25|14|17|12|4|N
17|1|212|C|2|0|U|501|7|1|176|E1701|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|47|8|4|N
17|1|215|C|1|0|U|740|7|2|176|E1701|29|11|9|7|10|4|21|9|3|5|11|15|16|15|23|20|14|9|14|12|8|9|19|3|4|14|4|11|6|10|4|8|4|7|6|6|4|9|9|8|10|6|9|5|7|4|8|9|9|14|4|5|471|189|237|36|2024|4|25|15|2|22|4|N
17|1|219|C|2|0|U|660|7|2|176|E1701|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|18|1|31|1|N
17|1|220|C|1|0|U|573|7|2|176|E1701|32|12|8|13|4|10|19|4|7|7|3|18|13|10|9|12|10|11|11|10|11|14|7|14|4|5|2|4|4|5|2|7|5|3|3|7|8|6|6|12|3|4|9|6|6|4|3|5|2|15|11|3|391|165|175|37|2024|4|25|15|50|14|4|N
17|1|220|E|1|2|U|740|7|2|176|E1701|33|15|14|12|9|8|22|5|6|12|7|20|12|12|14|8|17|10|12|10|13|16|12|10|5|7|5|8|5|3|5|7|5|8|9|11|10|8|13|6|10|15|5|3|8|8|4|7|13|22|5|16|507|187|257|42|2024|4|25|15|32|1|4|N
17|1|222|E|1|0|U|736|7|2|176|E1701|37|8|8|12|3|8|13|5|9|7|6|14|12|10|12|11|9|5|14|3|8|15|10|13|6|8|0|9|7|1|5|9|2|4|3|8|15|6|4|3|9|7|5|9|8|7|6|14|11|14|8|6|409|150|218|27|2024|4|25|15|33|7|4|N
17|1|222|E|1|2|U|736|7|2|176|E1701|37|13|8|15|4|8|17|6|3|4|2|14|8|14|11|9|14|17|18|10|8|13|10|9|5|5|2|9|10|5|7|12|13|5|8|7|10|8|11|8|5|8|6|5|4|5|11|5|5|24|1|15|454|177|230|31|2024|4|25|15|49|36|4|N
17|1|225|C|1|0|U|554|7|2|176|E1701|40|7|9|10|5|6|5|5|10|7|6|9|17|13|10|6|7|12|12|10|6|10|8|10|5|7|3|8|7|5|9|9|6|3|4|6|7|9|6|6|3|3|12|12|6|4|8|9|4|7|1|4|373|147|207|14|2024|4|25|15|41|22|4|N
17|1|228|B|1|0|U|470|7|2|176|E1701|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|3|25|1|N
17|1|228|C|1|0|U|470|7|2|176|E1701|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|53|38|1|N
17|1|230|C|2|0|U|585|7|2|176|E1701|42|6|8|17|7|7|8|5|6|8|9|4|13|13|8|9|12|14|7|11|8|9|11|6|5|10|6|7|4|8|6|6|7|6|5|6|6|5|8|7|2|6|6|8|5|10|4|10|10|7|0|2|378|152|212|12|2024|4|25|15|14|4|4|N
17|1|233|B|1|0|U|462|7|2|176|E1701|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|15|20|1|N
17|1|241|C|1|0|U|551|7|1|176|E1701|47|10|8|12|6|5|6|7|7|14|11|6|8|8|6|9|8|7|6|8|5|9|6|6|14|8|7|12|8|10|5|10|6|11|12|6|2|7|9|4|13|7|6|8|6|5|10|7|7|8|0|1|387|116|258|12|2024|4|25|15|20|30|4|N
17|1|245|B|1|0|U|451|7|1|176|E1701|49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|42|3|1|N
