865
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CNR|NULOS|TOTAL|BXGR|CSP|JAM|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|2|494|C|1|0|U|529|1|12|2|E0102|136|0|82|0|0|6|67|16|0|0|0|95|0|0|75|0|2|11|354|177|97|67|2024|4|25|14|3|16|4|N
1|3|27|B|1|0|U|551|1|17|3|E0103|46|6|5|70|0|4|7|26|0|0|0|5|0|0|1|0|2|8|134|86|31|7|2024|4|25|14|12|52|4|N
1|3|48|C|2|0|U|652|1|6|3|E0103|19|32|45|52|0|57|22|47|0|4|0|51|0|0|29|0|2|9|350|184|133|22|2024|4|25|14|11|13|4|N
1|3|205|B|1|0|U|459|1|11|3|E0103|43|0|12|5|3|0|139|78|0|36|0|0|0|4|1|0|4|1|283|53|86|139|2024|4|25|14|3|34|4|N
1|3|268|B|1|0|U|653|1|9|3|E0103|158|6|104|72|47|0|117|99|0|0|0|6|0|17|1|0|1|10|480|188|164|117|2024|4|25|14|8|41|4|N
1|3|545|B|1|0|U|611|1|18|3|E0103|136|0|27|25|0|51|99|117|0|0|0|1|0|18|3|0|0|6|347|53|189|99|2024|4|25|14|16|31|4|N
2|2|309|C|1|0|U|452|2|4|5|E0202|54|56|73|1|7|22|41|0|0|0|0|0|0|0|0|0|5|5|210|130|29|41|2024|4|25|13|53|55|4|N
2|2|522|B|1|0|U|694|2|4|5|E0202|20|81|115|0|10|220|41|39|0|0|0|0|0|0|0|0|4|3|513|196|269|41|2024|4|25|14|17|6|4|N
2|2|523|C|4|0|U|709|2|4|5|E0202|23|77|21|0|9|0|163|3|32|5|0|0|0|0|4|0|3|0|317|135|16|163|2024|4|25|14|17|31|4|N
2|2|541|C|1|0|U|617|2|4|5|E0202|1|169|32|17|27|5|76|32|0|0|0|3|0|0|0|0|5|1|367|221|64|76|2024|4|25|14|5|10|4|N
2|2|1658|C|2|0|U|609|2|5|5|E0202|96|36|106|1|42|0|63|15|0|0|0|0|0|0|0|0|2|1|266|143|57|63|2024|4|25|14|15|52|4|N
2|2|1959|B|1|0|U|524|2|4|5|E0202|75|51|68|0|24|3|208|4|0|0|3|1|0|6|0|0|0|11|379|123|37|208|2024|4|25|14|12|26|4|N
2|3|30|C|1|0|U|632|1|16|6|E0203|32|11|108|0|0|13|117|4|28|0|1|5|0|0|0|0|4|9|300|153|17|117|2024|4|25|14|10|0|4|N
2|3|137|B|1|0|U|483|1|17|6|E0203|86|18|23|11|81|0|63|4|0|0|0|25|1|0|8|0|2|3|239|77|94|63|2024|4|25|14|4|49|4|N
2|3|142|C|3|0|U|705|1|17|6|E0203|91|56|9|19|24|7|70|30|58|0|0|0|0|0|0|0|2|9|284|142|61|70|2024|4|25|14|11|43|4|N
2|3|1984|C|1|0|U|734|1|17|6|E0203|76|27|9|7|20|38|151|66|0|0|0|0|3|0|38|0|2|12|373|43|165|151|2024|4|25|14|3|16|4|N
2|3|1987|C|1|0|U|749|1|17|6|E0203|81|38|74|46|3|2|176|3|4|0|0|19|0|0|0|0|5|3|373|181|8|176|2024|4|25|14|9|2|4|N
2|4|1416|B|1|0|U|629|4|8|7|E0204|9|25|20|20|12|0|49|27|4|0|0|0|0|23|3|0|3|9|195|69|65|49|2024|4|25|14|9|23|4|N
2|4|1446|C|1|0|U|492|4|7|7|E0204|85|22|49|8|11|4|37|60|0|0|1|0|0|0|0|0|1|8|201|80|75|37|2024|4|25|14|14|55|4|N
2|4|1454|B|1|0|U|626|4|7|7|E0204|93|172|16|19|16|44|92|67|0|6|0|16|0|0|0|0|0|2|450|229|127|92|2024|4|25|12|11|59|4|N
2|4|1465|C|1|0|U|476|4|14|7|E0204|121|139|20|16|5|0|94|0|18|0|0|0|0|1|0|0|1|7|301|193|6|94|2024|4|25|14|15|47|4|N
2|4|1479|C|1|0|U|714|4|14|7|E0204|129|52|11|41|9|54|11|0|19|0|1|4|0|0|7|0|5|2|216|128|70|11|2024|4|25|14|13|5|4|N
2|4|1573|B|1|0|U|380|4|7|7|E0204|77|14|98|1|0|4|41|61|0|0|0|8|0|0|0|0|1|3|231|121|65|41|2024|4|25|14|11|12|4|N
2|4|1584|C|1|0|U|525|4|7|7|E0204|49|35|36|6|66|18|38|18|0|0|0|0|0|0|0|0|1|6|224|77|102|38|2024|4|25|13|32|37|4|N
2|4|1993|B|1|0|U|613|4|8|7|E0204|13|125|29|6|5|0|110|57|0|0|0|0|7|0|0|0|0|0|339|160|69|110|2024|4|25|14|16|46|4|N
2|4|1995|C|1|0|U|689|4|8|7|E0204|14|65|102|5|44|1|41|0|1|0|0|2|0|0|0|0|5|8|274|175|45|41|2024|4|25|14|7|27|4|N
2|5|943|C|1|0|U|509|4|10|8|E0205|7|18|48|1|1|34|68|23|0|0|0|0|16|0|0|0|0|9|218|67|74|68|2024|4|25|14|6|22|4|N
2|5|1016|C|1|0|U|675|4|10|8|E0205|3|65|56|4|6|1|88|18|1|7|0|10|0|0|0|0|0|6|262|143|25|88|2024|4|25|11|37|40|4|N
2|5|1116|C|1|0|U|571|4|9|8|E0205|46|32|26|53|3|8|114|5|6|0|0|0|0|20|1|0|3|5|276|117|37|114|2024|4|25|12|59|58|4|N
2|5|1123|C|3|0|U|659|4|8|8|E0205|128|124|49|26|0|4|82|25|0|0|0|2|0|0|0|0|4|8|324|201|29|82|2024|4|25|12|47|18|4|N
2|5|1146|C|2|0|U|585|4|8|8|E0205|157|2|140|28|26|0|24|53|1|0|0|29|0|0|0|0|1|3|307|200|79|24|2024|4|25|11|48|49|4|N
2|6|739|C|2|0|U|541|4|10|9|E0206|15|80|34|8|63|0|40|71|0|0|0|0|0|0|0|0|3|9|308|122|134|40|2024|4|25|14|12|13|4|N
2|6|795|C|1|0|U|610|4|10|9|E0206|19|17|37|46|51|2|92|3|0|0|0|0|0|0|17|0|5|2|272|100|73|92|2024|4|25|11|52|16|4|N
2|6|907|B|1|0|U|534|4|10|9|E0206|53|4|12|5|38|0|140|32|0|0|0|0|9|0|0|0|1|9|250|21|79|140|2024|4|25|14|13|37|4|N
2|6|977|C|3|0|U|590|4|10|9|E0206|79|41|142|0|40|17|45|15|25|0|0|0|0|0|0|0|2|11|338|208|72|45|2024|4|25|14|14|26|4|N
2|6|988|C|1|0|U|587|4|10|9|E0206|87|13|33|0|25|30|81|43|11|0|0|0|0|0|0|0|3|10|249|57|98|81|2024|4|25|11|58|3|4|N
2|7|172|C|9|0|M|690|1|16|10|E0207|44|43|159|29|2|48|49|1|3|0|0|0|0|0|11|0|4|7|356|234|62|49|2024|4|25|13|28|17|4|N
2|8|1346|C|1|0|U|625|4|12|11|E0208|100|1|111|1|6|15|43|1|0|0|1|0|1|0|7|0|1|0|188|114|30|43|2024|4|25|13|17|27|4|N
2|8|1715|B|1|0|U|387|4|14|11|E0208|39|11|89|33|1|6|52|2|0|0|0|0|0|15|5|0|4|12|230|133|29|52|2024|4|25|12|13|23|4|N
2|8|2084|C|1|0|U|708|4|12|11|E0208|112|27|96|0|8|27|26|195|0|0|0|0|1|0|0|0|2|1|383|123|231|26|2024|4|25|13|59|39|4|N
2|8|2085|C|2|0|U|609|4|12|11|E0208|113|0|14|0|11|7|76|17|0|0|0|0|0|0|3|0|3|1|132|14|38|76|2024|4|25|12|43|42|4|N
2|8|2085|C|3|0|U|609|4|12|11|E0208|113|47|74|11|24|1|10|7|0|0|0|27|0|0|6|0|5|11|223|159|38|10|2024|4|25|12|46|40|4|N
2|9|709|C|2|0|M|577|3|6|12|E0209|22|10|102|34|11|11|135|47|0|0|0|0|0|0|0|0|5|2|357|146|69|135|2024|4|25|10|17|27|4|N
2|9|2005|B|1|0|U|598|4|6|12|E0209|39|85|44|14|6|18|102|4|2|0|2|2|0|1|0|0|0|12|292|149|29|102|2024|4|25|14|11|29|4|N
3|1|145|B|1|0|U|394|3|2|13|E0301|87|28|39|1|43|31|83|71|0|0|0|0|1|16|0|0|1|1|315|68|162|83|2024|4|25|14|0|50|4|N
3|1|468|B|1|0|U|471|3|3|13|E0301|117|14|32|8|106|0|58|87|0|0|3|0|0|0|0|0|4|5|317|57|193|58|2024|4|25|14|5|44|4|N
3|2|320|C|3|0|U|595|4|16|14|E0302|98|33|1|15|71|18|115|59|0|0|0|0|0|0|0|0|3|4|319|49|148|115|2024|4|25|14|13|15|4|N
3|2|328|C|3|0|U|627|4|16|14|E0302|99|86|16|0|22|17|153|164|11|0|0|0|0|3|0|0|4|12|488|113|206|153|2024|4|25|14|6|52|4|N
3|2|504|C|1|0|U|526|4|1|14|E0302|8|13|64|37|68|3|97|37|1|1|0|0|0|0|0|0|0|2|323|116|108|97|2024|4|25|14|8|38|4|N
