200
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|PAN_PRI|CNR|NULOS|TOTAL|LBS|JMFP|JMR|MIDLF|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
27|1|3|B|1|0|U|565|1|21|255|E2701|3|35|43|53|13|3|60|11|25|11|9|1|7|4|1|276|85|53|73|60|2024|4|25|15|33|57|4|N
27|1|5|C|1|0|M|587|1|21|255|E2701|4|28|49|62|13|5|70|8|13|6|8|1|12|3|0|278|89|62|54|70|2024|4|25|15|46|54|4|N
27|1|23|B|1|0|R|424|1|21|255|E2701|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
27|1|24|B|1|0|M|659|1|21|255|E2701|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
27|1|24|C|1|0|M|659|1|21|255|E2701|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||
27|1|42|E|1|0|R|372|1|21|255|E2701|21|25|33|32|8|1|54|8|7|9|6|3|5|1|0|192|63|32|42|54|2024|4|25|15|15|57|4|N
27|1|675|B|1|0|U|406|7|14|255|E2701|28|20|35|43|6|1|50|6|10|13|6|1|4|3|0|198|59|43|43|50|2024|4|25|15|39|53|4|N
27|1|683|C|1|0|R|561|7|14|255|E2701|33|37|48|57|12|5|62|13|18|15|9|3|12|1|0|292|97|57|75|62|2024|4|25|15|47|30|4|N
27|1|855|B|1|0|R|350|11|14|255|E2701|39|16|27|36|4|3|44|8|15|7|5|1|6|2|0|174|49|36|43|44|2024|4|25|15|26|35|4|N
27|1|861|C|1|0|R|696|11|14|255|E2701|42|44|53|77|10|7|80|14|15|13|7|0|11|2|0|333|108|77|66|80|2024|4|25|15|45|37|1|N
27|1|868|C|1|0|R|578|11|14|255|E2701|46|29|43|60|14|2|58|7|19|11|8|0|12|1|0|264|84|60|61|58|2024|4|25|15|40|54|1|N
27|1|881|B|1|0|U|563|12|16|255|E2701|53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|15|58|47|1|N
27|1|882|C|1|0|U|700|12|16|255|E2701|54|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|18|1|13|1|N
27|1|906|B|1|0|R|429|12|14|255|E2701|67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|8|37|1|N
27|1|918|B|1|0|M|618|12|16|255|E2701|76|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|17|14|18|4|N
27|1|919|B|1|0|R|584|12|14|255|E2701|77|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|36|23|1|N
27|1|930|C|1|0|M|515|12|16|255|E2701|85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2024|4|25|16|48|39|1|N
27|1|933|C|1|0|M|439|12|16|255|E2701|82|27|44|42|8|5|57|13|4|8|8|3|8|1|0|228|79|42|49|57|2024|4|25|15|41|5|4|N
