sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
1|1|PAN|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PRI|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PRD|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PVEM|CLAUDIA BRISEIDA CHAVEZ RAMIREZ|MELANNIE ITZAYANA REYES MARTINEZ
1|1|PT|JUAN MANUEL DE LOERA MARQUEZ|LILIA RODRIGUEZ GUERRERO
1|1|MOVIMIENTO CIUDADANO|NORMA ISABEL ZAMORA RODRIGUEZ|LUZ MARIA PADILLA DE LUNA
1|1|MORENA|RAFAEL CALDERON ZAMARRIPA|JUAN JOSE RUIZ ESCOBAR
1|1|PES|MARTHA ESPERANZA CAMPOS ZAMBRANO|PATRICIA MUÑOZ RAMIREZ
1|1|RSP|JORGE EMIR CRAVIOTO QUEZADA|FRANCISCO GERARDO FLORES CORREA
1|1|FS X MÉXICO|PATRICIA DEL CARMEN RAMIREZ DE LARA|CLAUDIA MARGARITA GOMEZ GARCIA
1|1|PAN_PRI_PRD|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PAN_PRI|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PAN_PRD|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|1|PRI_PRD|NOEL MATA ATILANO|ARNULFO FEDERICO VARGAS GOMEZ
1|2|PAN|MONICA BECERRA MORENO|LAURA PATRICIA AHEDO BARCENAS
1|2|PRI|ROBERTO LAMAS DE ALBA|ALEJANDRO LENIN RUELAS CALDERON
1|2|PRD|LUIS ERNESTO GUTIERREZ BERDEJA|EDGAR ALAN LUEVANO NUÑEZ
1|2|PVEM|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|PT|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|MOVIMIENTO CIUDADANO|PAOLA NADINE CORTES CALZADA|ITZEL IVVETHE TELLEZ MARMOLEJO
1|2|MORENA|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|PES|VERONICA DAMARIS DIAZ RAMIREZ|LUCIA JANETTE NUÑEZ GALLEGOS
1|2|RSP|TEODULO NUÑEZ LEAÑOS|JULIO AMADOR RODRIGUEZ
1|2|FS X MÉXICO|CECILIA ARLETTE HERNANDEZ TAPIA|ANA GALVAN GUERRERO
1|2|PVEM_PT_MORENA|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|PVEM_PT|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|PVEM_MORENA|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|2|PT_MORENA|ELBA LORENA TORRES DIAZ|PAMELA RESENDIZ LOPEZ
1|3|PAN|PAULO GONZALO MARTINEZ LOPEZ|JOSE DE JESUS ORTIZ DOMINGUEZ
1|3|PRI|LUIS FRANCISCO GERARDO PONCE MORAN|JUAN CARLOS LOPEZ HERNANDEZ
1|3|PRD|SUSAN ANY MUÑOZ RODRIGUEZ|SILVIA ARELI LOPEZ RAMIREZ
1|3|PVEM|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|PT|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|MOVIMIENTO CIUDADANO|FRANCE SVETLANA FARIAS CARRILLO|PATRICIA VALADEZ BUSTAMANTE
1|3|MORENA|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|PES|DAVID PEREZ CALLEJA|PATRICIA MIROSLAVA DIAZ GONZALEZ
1|3|RSP|ANA LILIA MUÑOZ ARMENTA|LADY DIANA SILVA MUÑOZ
1|3|FS X MÉXICO|MARIA FERNANDA CAMPOS ATRISTAIN|MARIA GEORGINA RODRIGUEZ TORRES
1|3|PVEM_PT_MORENA|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|PVEM_PT|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|PVEM_MORENA|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
1|3|PT_MORENA|AIDA KARINA BANDA IGLESIAS|LOURDES YOLANDA HERNANDEZ MUÑOZ
2|1|PAN|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PRI|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PRD|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PVEM|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|PT|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|MOVIMIENTO CIUDADANO|JOSE LUIS MEJIA OJEDA|JUAN MANUEL MANRIQUEZ
2|1|MORENA|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|PES|RUMUALDO LEONEL SILVA RIVERA|FRANCISCO JAVIER ARIAS LEON
2|1|RSP|AVELINO EDUARDO RUIZ ESQUER|JOSE ANTONIO ARCE DUARTE
2|1|FS X MÉXICO|DANIELA LOPEZ GUZMAN|YADIRA GUADALUPE FISCAL ENRIQUEZ
2|1|PAN_PRI_PRD|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PAN_PRI|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PAN_PRD|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PRI_PRD|HECTOR GUZMAN HERNANDEZ|EDWVIGES PIO RODRIGUEZ
2|1|PVEM_PT_MORENA|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|PVEM_PT|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|PVEM_MORENA|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|1|PT_MORENA|YESSENIA LETICIA OLUA GONZALEZ|ROSSY STEPHANIE GOMEZ REYES
2|2|PAN|MARIA TERESA BABUN VILLARREAL|EDNA LAURA VIDALES GARCIA
2|2|PRI|VICTOR MANUEL SANCHEZ SAENZ|NELLY HERMINIA BARCENA SANCHEZ
2|2|PRD|JOSE LUIS AGUIRRE BLANCAS|DIANA ELENA MORENO TIRADO
2|2|PVEM|LEXY YULIANA YAÑEZ LAMAS|ALMA GABRIELA RAMIREZ GIRON
2|2|PT|HORTENCIA MEZA CASTRO|SORAYA ANABEL COBOS CERVANTES
2|2|MOVIMIENTO CIUDADANO|EDNA PAULINA GUTIERREZ RUBALCAVA|SANDRA PEREZ CASTRO
2|2|MORENA|JULIETA ANDREA RAMIREZ PADILLA|MICHELLE ALEJANDRA TEJEDA MEDINA
2|2|PES|JOSE JUAN CONTRERAS SALCEDO|RICARDO SANDOVAL CHON
2|2|RSP|ROSA MARIA ACUÑA ARVIZU|MIRIAM GUADALUPE GONZALEZ JUAREZ
2|2|FS X MÉXICO|PATRICIA SOSA CASTELLANOS|GABRIELA ARREOLA MEDRANO
2|3|PAN|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PRI|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PRD|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PVEM|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|PT|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|MOVIMIENTO CIUDADANO|COLUMBA DOMINGUEZ DELGADILLO|ASTRID DAFNE MONROY LIZARRAGA
2|3|MORENA|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|PES|PAMELA CASTRO FIGUEROA|SOLEDAD GUADALUPE LOYA LARA
2|3|RSP|HUGO ENRIQUE SANCHEZ VILLEGAS|GUSTAVO RAMIREZ ZAMORA
2|3|FS X MÉXICO|ALEJANDRA GUTIERREZ CASTRO|ROSELA MEDINA LENCIONI
2|3|PAN_PRI_PRD|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PAN_PRI|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PAN_PRD|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PRI_PRD|JOHANNA ESTHELA CHAVEZ JACINTO|ROSARIO DEL CARMEN LUNA LOPEZ
2|3|PVEM_PT_MORENA|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|PVEM_PT|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|PVEM_MORENA|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|3|PT_MORENA|ARMANDO REYES LEDESMA|MIGUEL ANGEL PIÑA AGUILAR
2|4|PAN|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PRI|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PRD|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PVEM|LUIS ARTURO GONZALEZ CRUZ|CARLOS MURGUIA MEJIA
2|4|PT|TANIA GUADALUPE GUERRERO MENA|MAYRA SOLEDAD LOPEZ GARCIA
2|4|MOVIMIENTO CIUDADANO|XOCHILT DE LABRA MONREAL|ESTHER BAEZ VALDIVIA
2|4|MORENA|SOCORRO IRMA ANDAZOLA GOMEZ|MARIA TERESA SAAVEDRA TALAVERA
2|4|PES|ROSARIO VIRIDIANA ROMAN CARRILLO|JUANA ALICIA VARGAS HERNANDEZ
2|4|RSP|MIRIAM SUSANA AVALOS GOVEA|YESENIA LOPEZ VICTORINO
2|4|FS X MÉXICO|JOSEFINA ZAVALA GARCIA|GENOVEVA HERNANDEZ VILLA
2|4|PAN_PRI_PRD|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PAN_PRI|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PAN_PRD|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|4|PRI_PRD|HORTENSIA HERNANDEZ MENDOZA|RAFAELA JOCOBI YOCUPICIO
2|5|PAN|JAIME CLEOFAS MARTINEZ VELOZ|JOSE LUIS KATO LIZARDI
2|5|PRI|JAIME CLEOFAS MARTINEZ VELOZ|JOSE LUIS KATO LIZARDI
2|5|PRD|JAIME CLEOFAS MARTINEZ VELOZ|JOSE LUIS KATO LIZARDI
2|5|PVEM|JUAN DIEGO BERISTAIN AVILA|CESAR ENRIQUE MANJARREZ NUÑEZ
2|5|PT|REYNA SOLEDAD RODRIGUEZ BORQUEZ|ELIZABETH FABIOLA NAVARRO RODRIGUEZ
2|5|MOVIMIENTO CIUDADANO|FARAH RISK MORALES|YANNETH ZERMEÑO DE NIZ
2|5|MORENA|EVANGELINA MORENO GUERRA|REBECA VALLE HERNANDEZ
2|5|PES|MANUEL ALEJANDRO FLORES PEREZ|GUSTAVO FERNANDEZ DE LEON
2|5|RSP|JULIO CESAR DIAZ CARRERA|SERGIO GABRIEL PACHECO RIVERA
