6345
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PT|PVEM|MC|MORENA|PES|RSP|FPM|PAN_PRI_PRD|PAN_PRI|PAN_PRD|PRI_PRD|PVEM_PT_MORENA|PVEM_PT|PVEM_MORENA|PT_MORENA|CI1|CNR|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|350|C|3|0|3|669|2|2|0|E0|0||10|99|72|33|48|11|13|152|3|15|6|0|1|1|2|0|0|0|0|0|0|5|461|2021|6|2|0|8|41|1|N
1|1|358|C|2|0|1|727|3|8|0|E0|0||29|130|70|1|7|26|6|67|0|3|3|3|3|0|2|0|0|0|0|0|0|19|340|2021|6|2|0|9|39|1|N
1|1|362|C|3|0|1|593|3|8|0|E0|0||17|78|80|36|24|32|10|45|10|26|10|0|2|2|1|0|0|0|0|0|0|11|367|2021|6|2|0|9|16|1|N
1|1|364|B|1|0|3|646|3|8|0|E0|0||15|135|34|3|31|8|10|176|8|18|9|3|2|1|1|0|0|0|0|0|0|18|457|2021|6|2|0|10|22|1|N
1|1|375|B|1|0|1|673|3|8|0|E0|0||21|117|96|30|2|14|10|109|4|0|10|0|1|1|3|0|0|0|0|0|1|13|411|2021|6|2|0|9|24|1|N
1|1|386|B|1|0|3|526|3|8|0|E0|0||30|45|41|13|0|15|11|93|7|16|18|0|1|0|2|0|0|0|0|0|1|18|281|2021|6|2|0|9|51|1|N
1|1|393|C|2|0|1|644|5|7|0|E0|0||61|134|72|9|4|6|9|87|10|8|5|0|0|1|3|0|0|0|0|0|0|12|360|2021|6|2|0|11|6|1|N
1|1|401|C|3|0|2|692|5|4|0|E0|0||50|72|38|26|27|43|10|44|2|7|7|1|0|1|1|0|0|0|0|0|0|19|298|2021|6|2|0|9|51|1|N
1|1|413|C|11|0|2|718|5|4|0|E0|0||58|145|74|15|9|13|12|141|1|21|9|4|2|0|0|0|0|0|0|0|0|10|456|2021|6|2|0|10|55|1|N
1|1|414|C|3|0|1|697|5|7|0|E0|0||69|118|64|11|13|35|7|49|14|9|9|0|2|1|0|0|0|0|0|0|0|20|352|2021|6|2|0|9|24|1|N
1|1|434|B|1|0|1|398|7|1|0|E0|0||99|50|38|0|3|25|0|2|2|22|4|1|2|0|2|0|0|0|0|0|0|8|159|2021|6|2|0|9|20|1|N
1|1|437|C|3|0|2|611|7|1|0|E0|0||102|84|86|2|14|0|12|59|0|11|0|5|0|0|2|0|0|0|0|0|0|11|286|2021|6|2|0|10|15|1|N
1|1|440|C|3|0|2|719|7|1|0|E0|0||96|68|67|0|3|0|13|68|10|6|6|0|1|0|0|0|0|0|0|0|1|14|257|2021|6|2|0|10|50|1|N
1|1|441|C|1|0|1|524|7|1|0|E0|0||94|92|55|27|18|52|13|45|8|12|7|0|1|2|2|0|0|0|0|0|0|22|356|2021|6|2|0|8|45|1|N
1|1|453|B|1|0|2|528|8|8|0|E0|0||120|116|124|11|13|6|4|124|9|29|8|1|1|4|1|0|0|0|0|0|0|20|471|2021|6|2|0|9|20|1|N
1|1|458|C|1|0|3|628|8|8|0|E0|0||118|127|54|30|9|30|14|138|0|23|6|0|3|1|1|0|0|0|0|0|1|19|456|2021|6|2|0|10|37|1|N
1|1|469|C|3|0|1|721|9|3|0|E0|0||124|102|106|1|23|33|13|118|0|17|11|5|1|2|0|0|0|0|0|0|1|11|444|2021|6|2|0|10|50|1|N
