ID_ESTADO,CANDIDATO,PARTIDO
1,MTJE,MTJE
1,MCMA,MCMA
1,AMM,AMM
1,NRG,NRG
1,NTRC,NTRC
1,OTROS,CNR
1,OTROS,NULOS
10,AVV,AVV
10,AMVR,AMVR
10,PFE,PFE
10,OTROS,CNR
10,OTROS,NULOS
13,CVA,CVA
13,JLLM,JLLM
13,JRMS,JRMS
13,FBE,FBE
13,OTROS,CNR
13,OTROS,NULOS
20,ANDJ,ANDJ
20,AAA,AAA
20,SJC,SJC
20,DAGM,DAGM
20,BALL,BALL
20,MCV,MCV
20,JLR,JLR,
20,OTROS,CNR
20,OTROS,NULOS
23,LLFP,LLFP
23,LAHR,LAHR
23,MEHLE,MEHLE
23,JLPV,JLPV
23,JNMV,JNMV
23,OTROS,CNR
23,OTROS,NULOS
28,CAVO,CAVO
28,AVA,AVA
28,ADGN,ADGN
28,OTROS,CNR
28,OTROS,NULOS
