strata,N_estrato
1-1,578
1-2,592
1-3,676
10-1,676
10-2,645
10-3,711
10-4,591
11-1,503
11-10,650
11-11,530
11-12,573
11-13,628
11-14,591
11-15,501
11-2,578
11-3,563
11-4,506
11-5,500
11-6,499
11-7,473
11-8,577
11-9,502
12-1,831
12-2,479
12-3,663
12-4,560
12-5,648
12-6,671
12-7,591
12-8,685
13-1,653
13-2,710
13-3,597
13-4,555
13-5,596
13-6,570
13-7,536
14-1,544
14-10,563
14-11,677
14-12,487
14-13,513
14-14,389
14-15,583
14-16,503
14-17,505
14-18,611
14-19,638
14-2,549
14-20,285
14-3,589
14-4,559
14-5,548
14-6,490
14-7,417
14-8,715
14-9,601
15-1,595
15-10,483
15-11,534
15-12,470
15-13,642
15-14,424
15-15,561
15-16,514
15-17,468
15-18,559
15-19,705
15-2,433
15-20,393
15-21,504
15-22,602
15-23,490
15-24,685
15-25,456
15-26,525
15-27,554
15-28,408
15-29,626
15-3,516
15-30,446
15-31,634
15-32,437
15-33,440
15-34,602
15-35,568
15-36,622
15-37,530
15-38,451
15-39,447
15-4,479
15-40,562
15-5,441
15-6,553
15-7,581
15-8,551
15-9,535
16-1,541
16-10,567
16-11,609
16-2,559
16-3,625
16-4,594
16-5,634
16-6,619
16-7,688
16-8,542
16-9,539
17-1,543
17-2,543
17-3,516
17-4,540
17-5,441
18-1,596
18-2,608
18-3,623
19-1,554
19-10,580
19-11,613
19-12,500
19-13,409
19-14,506
19-2,565
19-3,534
19-4,616
19-5,510
19-6,551
19-7,408
19-8,428
19-9,568
2-1,550
2-2,582
2-3,559
2-4,641
2-5,651
2-6,667
2-7,565
2-8,575
2-9,567
20-1,611
20-10,628
20-2,567
20-3,681
20-4,691
20-5,520
20-6,597
20-7,500
20-8,597
20-9,550
21-1,539
21-10,503
21-11,529
21-12,581
21-13,487
21-14,584
21-15,480
21-16,525
21-2,528
21-3,524
21-4,504
21-5,492
21-6,529
21-7,444
21-8,461
21-9,629
22-1,574
22-2,496
22-3,573
22-4,591
22-5,423
22-6,490
23-1,449
23-2,443
23-3,682
23-4,546
24-1,591
24-2,445
24-3,569
24-4,619
24-5,570
24-6,555
24-7,555
25-1,670
25-2,726
25-3,894
25-4,786
25-5,650
25-6,750
25-7,693
26-1,539
26-2,622
26-3,538
26-4,537
26-5,582
26-6,579
26-7,489
27-1,479
27-2,572
27-3,445
27-4,556
27-5,558
27-6,506
28-1,567
28-2,589
28-3,667
28-4,581
28-5,633
28-6,672
28-7,523
28-8,728
29-1,580
29-2,606
29-3,537
3-1,664
3-2,452
30-1,613
30-10,665
30-11,588
30-12,507
30-13,518
30-14,580
30-15,519
30-16,582
30-17,634
30-18,542
30-19,576
30-2,576
30-3,592
30-4,537
30-5,609
30-6,561
30-7,630
30-8,632
30-9,542
31-1,466
31-2,541
31-3,514
31-4,462
31-5,515
31-6,471
32-1,669
32-2,765
32-3,666
32-4,544
4-1,618
4-2,614
5-1,551
5-2,536
5-3,583
5-4,533
5-5,479
5-6,459
5-7,551
5-8,460
6-1,553
6-2,481
7-1,499
7-10,546
7-11,541
7-12,553
7-13,600
7-2,487
7-3,523
7-4,521
7-5,547
7-6,530
7-7,599
7-8,502
7-9,544
8-1,530
8-2,553
8-3,640
8-4,627
8-5,653
8-6,666
8-7,760
8-8,690
8-9,648
9-1,586
9-10,561
9-11,700
9-12,666
9-13,639
9-14,624
9-15,645
9-16,550
9-17,565
9-18,632
9-19,595
9-2,753
9-20,678
9-21,543
9-22,490
9-3,702
9-4,508
9-5,561
9-6,600
9-7,704
9-8,643
9-9,505
