strata,N_estrato
1-1,576
1-2,591
1-3,675
10-1,674
10-2,645
10-3,710
10-4,589
11-1,501
11-10,646
11-11,528
11-12,570
11-13,624
11-14,587
11-15,499
11-2,577
11-3,561
11-4,506
11-5,500
11-6,496
11-7,472
11-8,577
11-9,500
12-1,830
12-2,477
12-3,657
12-4,554
12-5,644
12-6,670
12-7,587
12-8,685
13-1,651
13-2,709
13-3,597
13-4,552
13-5,596
13-6,570
13-7,535
14-1,580
14-10,561
14-11,673
14-12,485
14-13,512
14-14,388
14-15,580
14-16,501
14-17,504
14-18,609
14-19,635
14-2,547
14-20,384
14-3,588
14-4,558
14-5,547
14-6,490
14-7,416
14-8,711
14-9,599
15-1,595
15-10,482
15-11,533
15-12,470
15-13,639
15-14,424
15-15,561
15-16,514
15-17,466
15-18,558
15-19,704
15-2,433
15-20,391
15-21,502
15-22,600
15-23,487
15-24,684
15-25,453
15-26,523
15-27,551
15-28,408
15-29,626
15-3,515
15-30,443
15-31,633
15-32,436
15-33,438
15-34,601
15-35,567
15-36,622
15-37,528
15-38,450
15-39,446
15-4,478
15-40,561
15-5,441
15-6,553
15-7,580
15-8,549
15-9,534
16-1,541
16-10,567
16-11,603
16-2,552
16-3,628
16-4,588
16-5,631
16-6,612
16-7,649
16-8,540
16-9,517
17-1,542
17-2,541
17-3,515
17-4,540
17-5,439
18-1,591
18-2,606
18-3,619
19-1,551
19-10,579
19-11,608
19-12,498
19-13,407
19-14,508
19-2,565
19-3,538
19-4,611
19-5,508
19-6,556
19-7,408
19-8,537
19-9,568
2-1,549
2-2,581
2-3,557
2-4,641
2-5,661
2-6,666
2-7,564
2-8,590
2-9,565
20-1,609
20-10,626
20-2,564
20-3,681
20-4,690
20-5,515
20-6,597
20-7,500
20-8,596
20-9,547
21-1,537
21-10,502
21-11,528
21-12,579
21-13,484
21-14,583
21-15,480
21-16,524
21-2,525
21-3,525
21-4,503
21-5,489
21-6,529
21-7,442
21-8,461
21-9,628
22-1,573
22-2,493
22-3,570
22-4,590
22-5,423
22-6,489
23-1,630
23-2,641
23-3,682
23-4,543
24-1,590
24-2,442
24-3,573
24-4,618
24-5,568
24-6,560
24-7,555
25-1,667
25-2,725
25-3,893
25-4,786
25-5,649
25-6,748
25-7,691
26-1,536
26-2,619
26-3,537
26-4,563
26-5,579
26-6,577
26-7,488
27-1,477
27-2,572
27-3,443
27-4,556
27-5,557
27-6,506
28-1,567
28-2,588
28-3,664
28-4,581
28-5,633
28-6,673
28-7,520
28-8,726
29-1,580
29-2,605
29-3,537
3-1,662
3-2,452
30-1,612
30-10,663
30-11,586
30-12,506
30-13,518
30-14,577
30-15,518
30-16,581
30-17,634
30-18,542
30-19,575
30-2,576
30-3,592
30-4,536
30-5,609
30-6,560
30-7,628
30-8,630
30-9,542
31-1,465
31-2,540
31-3,514
31-4,461
31-5,514
31-6,470
32-1,664
32-2,761
32-3,665
32-4,544
4-1,617
4-2,613
5-1,550
5-2,535
5-3,581
5-4,533
5-5,475
5-6,459
5-7,551
5-8,459
6-1,549
6-2,480
7-1,499
7-10,546
7-11,539
7-12,553
7-13,600
7-2,484
7-3,519
7-4,519
7-5,547
7-6,530
7-7,597
7-8,502
7-9,542
8-1,528
8-2,553
8-3,638
8-4,625
8-5,648
8-6,661
8-7,777
8-8,685
8-9,647
9-1,585
9-10,560
9-11,700
9-12,663
9-13,638
9-14,622
9-15,644
9-16,549
9-17,563
9-18,628
9-19,593
9-2,748
9-20,684
9-21,542
9-22,489
9-3,697
9-4,508
9-5,560
9-6,596
9-7,718
9-8,640
9-9,504
