ID_ESTADO,ID_DISTRITO_FEDERAL,DISTRITO_JUDICIAL_ELECTORAL,CIRCUITO_JUDICIAL,id_dje
1,1,1,30,circ-30-dje-1
1,2,1,30,circ-30-dje-1
1,3,1,30,circ-30-dje-1
2,1,1,15,circ-15-dje-1
2,2,1,15,circ-15-dje-1
2,3,1,15,circ-15-dje-1
2,4,2,15,circ-15-dje-2
2,5,2,15,circ-15-dje-2
2,6,2,15,circ-15-dje-2
2,7,1,15,circ-15-dje-1
2,8,2,15,circ-15-dje-2
2,9,2,15,circ-15-dje-2
3,1,1,26,circ-26-dje-1
3,2,1,26,circ-26-dje-1
4,1,1,31,circ-31-dje-1
4,2,1,31,circ-31-dje-1
5,1,1,8,circ-8-dje-1
5,2,1,8,circ-8-dje-1
5,3,1,8,circ-8-dje-1
5,4,2,8,circ-8-dje-2
5,5,1,8,circ-8-dje-1
5,6,2,8,circ-8-dje-2
5,7,2,8,circ-8-dje-2
5,8,2,8,circ-8-dje-2
6,1,1,32,circ-32-dje-1
6,2,1,32,circ-32-dje-1
7,1,1,20,circ-20-dje-1
7,2,1,20,circ-20-dje-1
7,3,1,20,circ-20-dje-1
7,4,1,20,circ-20-dje-1
7,5,1,20,circ-20-dje-1
7,6,1,20,circ-20-dje-1
7,7,1,20,circ-20-dje-1
7,8,1,20,circ-20-dje-1
7,9,1,20,circ-20-dje-1
7,10,1,20,circ-20-dje-1
7,11,1,20,circ-20-dje-1
7,12,1,20,circ-20-dje-1
7,13,1,20,circ-20-dje-1
8,1,1,17,circ-17-dje-1
8,2,1,17,circ-17-dje-1
8,3,1,17,circ-17-dje-1
8,4,1,17,circ-17-dje-1
8,5,2,17,circ-17-dje-2
8,6,2,17,circ-17-dje-2
8,7,1,17,circ-17-dje-1
8,8,2,17,circ-17-dje-2
8,9,2,17,circ-17-dje-2
9,1,6,1,circ-1-dje-6
9,2,11,1,circ-1-dje-11
9,3,6,1,circ-1-dje-6
9,4,2,1,circ-1-dje-2
9,5,8,1,circ-1-dje-8
9,6,7,1,circ-1-dje-7
9,7,11,1,circ-1-dje-11
9,8,9,1,circ-1-dje-9
9,9,2,1,circ-1-dje-2
9,10,4,1,circ-1-dje-4
9,11,10,1,circ-1-dje-10
9,12,4,1,circ-1-dje-4
9,13,10,1,circ-1-dje-10
9,14,9,1,circ-1-dje-9
9,15,3,1,circ-1-dje-3
9,16,3,1,circ-1-dje-3
9,17,7,1,circ-1-dje-7
9,18,5,1,circ-1-dje-5
9,19,5,1,circ-1-dje-5
9,20,1,1,circ-1-dje-1
9,21,8,1,circ-1-dje-8
9,22,1,1,circ-1-dje-1
10,1,1,25,circ-25-dje-1
10,2,1,25,circ-25-dje-1
10,2,1,8,circ-8-dje-1
10,2,2,8,circ-8-dje-2
10,3,1,25,circ-25-dje-1
10,3,2,8,circ-8-dje-2
10,4,1,25,circ-25-dje-1
11,1,1,16,circ-16-dje-1
11,2,2,16,circ-16-dje-2
11,3,1,16,circ-16-dje-1
11,4,1,16,circ-16-dje-1
11,5,1,16,circ-16-dje-1
11,6,1,16,circ-16-dje-1
11,7,1,16,circ-16-dje-1
11,8,2,16,circ-16-dje-2
11,9,2,16,circ-16-dje-2
11,10,2,16,circ-16-dje-2
11,11,1,16,circ-16-dje-1
11,12,2,16,circ-16-dje-2
11,13,2,16,circ-16-dje-2
11,14,2,16,circ-16-dje-2
11,15,2,16,circ-16-dje-2
12,1,1,21,circ-21-dje-1
12,2,1,21,circ-21-dje-1
12,3,1,21,circ-21-dje-1
12,4,1,21,circ-21-dje-1
12,5,1,21,circ-21-dje-1
12,6,1,21,circ-21-dje-1
12,7,1,21,circ-21-dje-1
12,8,1,21,circ-21-dje-1
13,1,1,29,circ-29-dje-1
13,2,1,29,circ-29-dje-1
13,3,1,29,circ-29-dje-1
13,4,1,29,circ-29-dje-1
13,5,1,29,circ-29-dje-1
13,6,1,29,circ-29-dje-1
13,7,1,29,circ-29-dje-1
14,1,1,3,circ-3-dje-1
14,2,2,3,circ-3-dje-2
14,3,2,3,circ-3-dje-2
14,4,3,3,circ-3-dje-3
14,5,1,3,circ-3-dje-1
14,6,3,3,circ-3-dje-3
14,7,4,3,circ-3-dje-4
14,8,4,3,circ-3-dje-4
14,9,2,3,circ-3-dje-2
14,10,3,3,circ-3-dje-3
14,11,4,3,circ-3-dje-4
14,12,3,3,circ-3-dje-3
14,13,3,3,circ-3-dje-3
14,14,4,3,circ-3-dje-4
14,15,2,3,circ-3-dje-2
14,16,4,3,circ-3-dje-4
14,17,1,3,circ-3-dje-1
14,18,1,3,circ-3-dje-1
14,19,1,3,circ-3-dje-1
14,20,2,3,circ-3-dje-2
15,1,3,2,circ-2-dje-3
15,2,1,2,circ-2-dje-1
15,3,3,2,circ-2-dje-3
15,4,3,2,circ-2-dje-3
15,5,1,2,circ-2-dje-1
15,6,1,2,circ-2-dje-1
15,7,1,2,circ-2-dje-1
15,8,1,2,circ-2-dje-1
15,9,3,2,circ-2-dje-3
15,10,1,2,circ-2-dje-1
15,11,2,2,circ-2-dje-2
15,12,2,2,circ-2-dje-2
15,13,2,2,circ-2-dje-2
15,14,1,2,circ-2-dje-1
15,15,1,2,circ-2-dje-1
15,16,2,2,circ-2-dje-2
15,17,2,2,circ-2-dje-2
15,18,3,2,circ-2-dje-3
15,19,1,2,circ-2-dje-1
15,20,1,2,circ-2-dje-1
15,21,2,2,circ-2-dje-2
15,22,1,2,circ-2-dje-1
15,23,3,2,circ-2-dje-3
15,24,1,2,circ-2-dje-1
15,25,2,2,circ-2-dje-2
15,26,3,2,circ-2-dje-3
15,27,3,2,circ-2-dje-3
15,28,1,2,circ-2-dje-1
15,29,2,2,circ-2-dje-2
15,30,2,2,circ-2-dje-2
15,31,2,2,circ-2-dje-2
15,32,2,2,circ-2-dje-2
15,33,2,2,circ-2-dje-2
15,34,3,2,circ-2-dje-3
15,35,3,2,circ-2-dje-3
15,36,3,2,circ-2-dje-3
15,37,3,2,circ-2-dje-3
15,38,2,2,circ-2-dje-2
15,39,2,2,circ-2-dje-2
15,40,3,2,circ-2-dje-3
16,1,1,11,circ-11-dje-1
16,2,1,11,circ-11-dje-1
16,3,1,11,circ-11-dje-1
16,4,1,11,circ-11-dje-1
16,5,1,11,circ-11-dje-1
16,6,1,11,circ-11-dje-1
16,7,1,11,circ-11-dje-1
16,8,1,11,circ-11-dje-1
16,9,1,11,circ-11-dje-1
16,10,1,11,circ-11-dje-1
16,11,1,11,circ-11-dje-1
17,1,1,18,circ-18-dje-1
17,2,1,18,circ-18-dje-1
17,3,2,18,circ-18-dje-2
17,4,2,18,circ-18-dje-2
17,5,2,18,circ-18-dje-2
18,1,1,24,circ-24-dje-1
18,2,1,24,circ-24-dje-1
18,3,1,24,circ-24-dje-1
19,1,1,4,circ-4-dje-1
19,2,2,4,circ-4-dje-2
19,3,1,4,circ-4-dje-1
19,4,2,4,circ-4-dje-2
19,5,1,4,circ-4-dje-1
19,6,1,4,circ-4-dje-1
19,7,1,4,circ-4-dje-1
19,8,3,4,circ-4-dje-3
19,9,2,4,circ-4-dje-2
19,10,2,4,circ-4-dje-2
19,11,2,4,circ-4-dje-2
19,12,3,4,circ-4-dje-3
19,13,3,4,circ-4-dje-3
19,14,3,4,circ-4-dje-3
20,1,1,13,circ-13-dje-1
20,2,1,13,circ-13-dje-1
20,3,1,13,circ-13-dje-1
20,4,1,13,circ-13-dje-1
20,5,1,13,circ-13-dje-1
20,6,1,13,circ-13-dje-1
20,7,1,13,circ-13-dje-1
20,8,1,13,circ-13-dje-1
20,9,1,13,circ-13-dje-1
20,10,1,13,circ-13-dje-1
21,1,1,6,circ-6-dje-1
21,2,1,6,circ-6-dje-1
21,3,1,6,circ-6-dje-1
21,4,1,6,circ-6-dje-1
21,5,2,6,circ-6-dje-2
21,6,1,6,circ-6-dje-1
21,7,1,6,circ-6-dje-1
21,8,1,6,circ-6-dje-1
21,9,1,6,circ-6-dje-1
21,10,2,6,circ-6-dje-2
21,11,2,6,circ-6-dje-2
21,12,2,6,circ-6-dje-2
21,13,2,6,circ-6-dje-2
21,14,2,6,circ-6-dje-2
21,15,2,6,circ-6-dje-2
21,16,2,6,circ-6-dje-2
22,1,1,22,circ-22-dje-1
22,2,1,22,circ-22-dje-1
22,3,1,22,circ-22-dje-1
22,4,1,22,circ-22-dje-1
22,5,1,22,circ-22-dje-1
22,6,1,22,circ-22-dje-1
23,1,1,27,circ-27-dje-1
23,2,1,27,circ-27-dje-1
23,3,1,27,circ-27-dje-1
23,4,1,27,circ-27-dje-1
24,1,1,9,circ-9-dje-1
24,2,1,9,circ-9-dje-1
24,3,1,9,circ-9-dje-1
24,4,1,9,circ-9-dje-1
24,5,1,9,circ-9-dje-1
24,6,1,9,circ-9-dje-1
24,7,1,9,circ-9-dje-1
25,1,2,12,circ-12-dje-2
25,2,1,12,circ-12-dje-1
25,3,1,12,circ-12-dje-1
25,4,1,12,circ-12-dje-1
25,5,2,12,circ-12-dje-2
25,6,2,12,circ-12-dje-2
25,7,2,12,circ-12-dje-2
26,1,1,15,circ-15-dje-1
26,1,1,5,circ-5-dje-1
26,2,1,5,circ-5-dje-1
26,3,1,5,circ-5-dje-1
26,4,2,5,circ-5-dje-2
26,5,2,5,circ-5-dje-2
26,6,2,5,circ-5-dje-2
26,7,2,5,circ-5-dje-2
27,1,2,10,circ-10-dje-2
27,2,1,10,circ-10-dje-1
27,3,1,10,circ-10-dje-1
27,4,2,10,circ-10-dje-2
27,5,2,10,circ-10-dje-2
27,6,2,10,circ-10-dje-2
28,1,1,19,circ-19-dje-1
28,2,1,19,circ-19-dje-1
28,3,1,19,circ-19-dje-1
28,4,1,19,circ-19-dje-1
28,5,2,19,circ-19-dje-2
28,6,2,19,circ-19-dje-2
28,7,1,19,circ-19-dje-1
28,8,2,19,circ-19-dje-2
29,1,1,28,circ-28-dje-1
29,2,1,28,circ-28-dje-1
29,3,1,28,circ-28-dje-1
30,1,1,7,circ-7-dje-1
30,2,1,7,circ-7-dje-1
30,3,2,7,circ-7-dje-2
30,3,1,10,circ-10-dje-1
30,4,2,7,circ-7-dje-2
30,5,1,7,circ-7-dje-1
30,6,1,7,circ-7-dje-1
30,7,1,7,circ-7-dje-1
30,8,1,7,circ-7-dje-1
30,9,1,7,circ-7-dje-1
30,10,1,7,circ-7-dje-1
30,11,1,10,circ-10-dje-1
30,12,2,7,circ-7-dje-2
30,13,2,7,circ-7-dje-2
30,14,1,10,circ-10-dje-1
30,15,2,7,circ-7-dje-2
30,16,2,7,circ-7-dje-2
30,17,2,7,circ-7-dje-2
30,18,2,7,circ-7-dje-2
30,19,2,7,circ-7-dje-2
30,19,1,10,circ-10-dje-1
31,1,1,14,circ-14-dje-1
31,2,1,14,circ-14-dje-1
31,3,1,14,circ-14-dje-1
31,4,1,14,circ-14-dje-1
31,5,1,14,circ-14-dje-1
31,6,1,14,circ-14-dje-1
32,1,1,23,circ-23-dje-1
32,2,1,23,circ-23-dje-1
32,3,1,23,circ-23-dje-1
32,4,1,23,circ-23-dje-1
