CLAVE_CASILLA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_FEDERAL,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CONSECUTIVO_MUESTRA,NUMERO_ARE,NUMERO_ZORE,CLAVE_CAE_F,CLAVE_VOE,CLAVE_DEOE,TIPO_SECCION,LISTA_NOMINAL,ID_MUNICIPIO,ID_DIST_LOC,ID_ESTRATO,ESTRATO
010338B0100,1,AGUASCALIENTES,1,338,B,1,0,,,,,,,M,1824,2,2,,
010338C0100,1,AGUASCALIENTES,1,338,C,1,0,,,,,,,M,1823,2,2,,
010341B0100,1,AGUASCALIENTES,1,341,B,1,0,,,,,,,M,2040,2,2,,
010341C0100,1,AGUASCALIENTES,1,341,C,1,0,,,,,,,M,2040,2,2,,
010343B0100,1,AGUASCALIENTES,1,343,B,1,0,,,,,,,M,1640,2,2,,
010343C0200,1,AGUASCALIENTES,1,343,C,2,0,,,,,,,M,1640,2,2,,
010343C0100,1,AGUASCALIENTES,1,343,C,1,0,,,,,,,M,1640,2,2,,
010344B0100,1,AGUASCALIENTES,1,344,B,1,0,,,,,,,R,1757,2,2,,
010344C0100,1,AGUASCALIENTES,1,344,C,1,0,,,,,,,R,1756,2,2,,
010345B0100,1,AGUASCALIENTES,1,345,B,1,0,,,,,,,R,1715,2,2,,
010345C0100,1,AGUASCALIENTES,1,345,C,1,0,,,,,,,R,1714,2,2,,
010348C0200,1,AGUASCALIENTES,1,348,C,2,0,,,,,,,U,1613,2,2,,
010348B0100,1,AGUASCALIENTES,1,348,B,1,0,,,,,,,U,1613,2,2,,
010348C0100,1,AGUASCALIENTES,1,348,C,1,0,,,,,,,U,1613,2,2,,
010348C0300,1,AGUASCALIENTES,1,348,C,3,0,,,,,,,U,1613,2,2,,
010349C0100,1,AGUASCALIENTES,1,349,C,1,0,,,,,,,M,1817,2,2,,
010349C0200,1,AGUASCALIENTES,1,349,C,2,0,,,,,,,M,1817,2,2,,
010349B0100,1,AGUASCALIENTES,1,349,B,1,0,,,,,,,M,1817,2,2,,
010351C0100,1,AGUASCALIENTES,1,351,C,1,0,,,,,,,R,1591,2,2,,
010351B0100,1,AGUASCALIENTES,1,351,B,1,0,,,,,,,R,1592,2,2,,
010352C0100,1,AGUASCALIENTES,1,352,C,1,0,,,,,,,R,1982,2,2,,
010352B0100,1,AGUASCALIENTES,1,352,B,1,0,,,,,,,R,1982,2,2,,
010355C0100,1,AGUASCALIENTES,1,355,C,1,0,,,,,,,M,1433,3,8,,
010355C0200,1,AGUASCALIENTES,1,355,C,2,0,,,,,,,M,1433,3,8,,
010355B0100,1,AGUASCALIENTES,1,355,B,1,0,,,,,,,M,1433,3,8,,
010357C0100,1,AGUASCALIENTES,1,357,C,1,0,,,,,,,M,1644,3,8,,
010357C0300,1,AGUASCALIENTES,1,357,C,3,0,,,,,,,M,1643,3,8,,
010357C0200,1,AGUASCALIENTES,1,357,C,2,0,,,,,,,M,1643,3,8,,
010357B0100,1,AGUASCALIENTES,1,357,B,1,0,,,,,,,M,1644,3,8,,
010358B0100,1,AGUASCALIENTES,1,358,B,1,0,,,,,,,U,1827,3,8,,
010358C0100,1,AGUASCALIENTES,1,358,C,1,0,,,,,,,U,1826,3,8,,
010362C0100,1,AGUASCALIENTES,1,362,C,1,0,,,,,,,U,1545,3,8,,
010362C0200,1,AGUASCALIENTES,1,362,C,2,0,,,,,,,U,1545,3,8,,
010362B0100,1,AGUASCALIENTES,1,362,B,1,0,,,,,,,U,1545,3,8,,
010363C0100,1,AGUASCALIENTES,1,363,C,1,0,,,,,,,U,1963,3,8,,
010363B0100,1,AGUASCALIENTES,1,363,B,1,0,,,,,,,U,1963,3,8,,
