ID_ENTIDAD,DISTRITO,nombre_partido,candidato
1,1,PAN,PAN
1,1,PRI,PAN
1,1,PRD,PAN
1,1,PT,PT
1,1,MORENA,MORENA
1,1,PVEM,PVEM
1,2,PAN,PAN
1,2,PRI,PRI
1,2,PRD,PRD
1,2,PT,PT
1,2,MORENA,PT
1,2,PVEM,PT
1,3,PAN,PAN
1,3,PRI,PRI
1,3,PRD,PRD
1,3,PT,PVEM
1,3,MORENA,PVEM
1,3,PVEM,PVEM
2,1,PAN,PAN
2,1,PRI,PAN
2,1,PRD,PAN
2,1,PT,MORENA
2,1,MORENA,MORENA
2,1,PVEM,MORENA
2,2,PAN,PAN
2,2,PRI,PRI
2,2,PRD,PRD
2,2,PT,PT
2,2,MORENA,MORENA
2,2,PVEM,PVEM
2,3,PAN,PRI
2,3,PRI,PRI
2,3,PRD,PRI
2,3,PT,PT
2,3,MORENA,PT
2,3,PVEM,PT
2,4,PAN,PRD
2,4,PRI,PRD
2,4,PRD,PRD
2,4,PT,PT
2,4,MORENA,MORENA
2,4,PVEM,PVEM
2,5,PAN,PRD
2,5,PRI,PRD
2,5,PRD,PRD
2,5,PT,PT
2,5,MORENA,MORENA
2,5,PVEM,PVEM
2,6,PAN,PRD
2,6,PRI,PRD
2,6,PRD,PRD
2,6,PT,PT
2,6,MORENA,MORENA
2,6,PVEM,PVEM
2,7,PAN,PRI
2,7,PRI,PRI
2,7,PRD,PRI
2,7,PT,MORENA
2,7,MORENA,MORENA
2,7,PVEM,MORENA
2,8,PAN,PRD
2,8,PRI,PRD
2,8,PRD,PRD
2,8,PT,PVEM
2,8,MORENA,PVEM
2,8,PVEM,PVEM
3,1,PAN,PAN
3,1,PRI,PAN
3,1,PRD,PAN
3,1,PT,PT
3,1,MORENA,PT
3,1,PVEM,PT
3,2,PAN,PAN
3,2,PRI,PAN
3,2,PRD,PAN
3,2,PT,PT
3,2,MORENA,PT
3,2,PVEM,PT
4,1,PAN,PRI
4,1,PRI,PRI
4,1,PRD,PRI
4,1,PT,PT
4,1,MORENA,MORENA
4,1,PVEM,PVEM
4,2,PAN,PAN
4,2,PRI,PAN
4,2,PRD,PAN
